match_id,Kampnavn,Kampdato,Kampstart,Sæson,Turnering,Hjemmehold,Udehold,weekday,month,kickoff_hour,season_weather,tickets_sold,avg_scans,peak_scans,total_revenue_DKK,fb_peak_orders
1743,2023-10-08 | Brøndby IF - Viborg FF,2023-10-08,2023-10-08 16:00:00,2023/24,Superliga ,Brøndby IF,Viborg FF,6,10,16,Efterår,14962,21799,13,1595560.0,347.0
1841,2024-02-25 | OB - Brøndby IF,2024-02-25,2024-02-25 16:00:00,2023/24,Superliga ,OB,Brøndby IF,6,2,16,Vinter,2250,2213,3,,
1842,2023-10-29 | Brøndby IF - FC Nordsjælland,2023-10-29,2023-10-29 18:00:00,2023/24,Superliga ,Brøndby IF,FC Nordsjælland,6,10,18,Efterår,13847,19919,12,1554580.0,353.0
1874,2023-09-27 | HIK - Brøndby IF,2023-09-27,2023-09-27 18:00:00,2023/24,DBU Pokalen ,HIK,Brøndby IF,2,9,18,Efterår,10087,7802,8,586124.14,144.0
1907,2023-11-06 | Brøndby IF - AGF,2023-11-06,2023-11-06 19:00:00,2023/24,Superliga ,Brøndby IF,AGF,0,11,19,Efterår,15354,21010,12,1716867.5,348.0
1908,2023-11-26 | Lyngby BK - Brøndby IF,2023-11-26,2023-11-26 18:00:00,2023/24,Superliga ,Lyngby BK,Brøndby IF,6,11,18,Efterår,3080,2842,3,,
1909,2023-12-03 | Brøndby IF - Hvidovre IF,2023-12-03,2023-12-03 16:00:00,2023/24,Superliga ,Brøndby IF,Hvidovre IF,6,12,16,Vinter,12469,16784,12,1120968.75,270.0
2039,2023-12-10 | Brøndby IF - AGF,2023-12-10,2023-12-10 15:30:00,2023/24,DBU Pokalen ,Brøndby IF,AGF,6,12,15,Vinter,9592,12931,10,870201.25,295.0
2138,2024-02-18 | Brøndby IF - FC Midtjylland,2024-02-18,2024-02-18 18:00:00,2023/24,Superliga ,Brøndby IF,FC Midtjylland,6,2,18,Vinter,15069,21362,11,1737524.16,336.0
2171,2024-03-03 | Brøndby IF - Vejle BK,2024-03-03,2024-03-03 16:00:00,2023/24,Superliga ,Brøndby IF,Vejle BK,6,3,16,Forår,15623,23100,12,1748274.89,365.0
2204,2024-03-17 | Brøndby IF - Silkeborg IF,2024-03-17,2024-03-17 17:00:00,2023/24,Superliga ,Brøndby IF,Silkeborg IF,6,3,17,Forår,15473,22515,13,1779950.32,348.0
2336,2024-05-12 | Brøndby IF - FC København,2024-05-12,2024-05-12 16:00:00,2023/24,Superliga ,Brøndby IF,FC København,6,5,16,Forår,15626,26252,12,3026181.14,370.0
2337,2024-04-21 | Brøndby IF - FC Midtjylland,2024-04-21,2024-04-21 18:00:00,2023/24,Superliga ,Brøndby IF,FC Midtjylland,6,4,18,Forår,15527,24361,14,2165587.92,379.0
2369,2024-05-26 | Brøndby IF - AGF,2024-05-26,2024-05-26 17:00:00,2023/24,Superliga ,Brøndby IF,AGF,6,5,17,Forår,15723,27142,13,4653124.21,401.0
2402,2024-05-15 | Brøndby IF - FC Nordsjælland,2024-05-15,2024-05-15 20:00:00,2023/24,Superliga ,Brøndby IF,FC Nordsjælland,2,5,20,Forår,15985,22512,13,1892340.11,378.0
2435,2024-04-08 | Brøndby IF - Silkeborg IF,2024-04-08,2024-04-08 19:00:00,2023/24,Superliga ,Brøndby IF,Silkeborg IF,0,4,19,Forår,11859,18119,12,1430694.65,307.0
